estado,etiqueta,id,objeto_unity,magnitud,valor_unity_json,valor_explicita,donde_se_ve
E1,estado,,,max_desplazamiento_mm,25.0375,25.0375,cabecera: Dmax
E1,estado,,,no_pasan (de 138 con fierro),0,0,cabecera: NO PASA n/m
E1,columna,18,Elem_18_columna,P,4448.3969,4448.3969,panel del elemento y ventana P-M
E1,columna,18,Elem_18_columna,M,47.81,47.81,panel del elemento y ventana P-M
E1,columna,18,Elem_18_columna,Mn,1330.1426,1330.1426,panel del elemento y ventana P-M
E1,columna,18,Elem_18_columna,u,0.035944,0.035944,panel del elemento y ventana P-M
E1,columna,18,Elem_18_columna,extremo,j (superior),j (superior),panel del elemento y ventana P-M
E1,columna,18,Elem_18_columna,pasa,True,True,panel del elemento y mapa D/C
E1,columna,18,Elem_18_columna,sum lambda u_caso (NO es u),0.040986,0.035944,tabla de no linealidad (no se muestra en Unity)
E1,muro,537,Elem_537_muro,P,4069.1475,4069.1475,panel del elemento y ventana P-M
E1,muro,537,Elem_537_muro,M,2893.447,2893.447,panel del elemento y ventana P-M
E1,muro,537,Elem_537_muro,Mn,83325.587,83325.587,panel del elemento y ventana P-M
E1,muro,537,Elem_537_muro,u,0.034725,0.034725,panel del elemento y ventana P-M
E1,muro,537,Elem_537_muro,extremo,j (superior),j (superior),panel del elemento y ventana P-M
E1,muro,537,Elem_537_muro,pasa,True,True,panel del elemento y mapa D/C
E1,muro,537,Elem_537_muro,sum lambda u_caso (NO es u),0.039104,0.034725,tabla de no linealidad (no se muestra en Unity)
E1,viga,138,Elem_138_viga_x,My(0),-109.8312,-109.8312,diagrama My
E1,viga,138,Elem_138_viga_x,My(L),827.3391,827.3392,diagrama My
E1,viga,138,Elem_138_viga_x,max|My| (x = 2.5000),827.3391,,diagrama My
E1,nodo,599,,ux (m),0.00144889,0.00144889,deformada / panel del nodo
E1,nodo,599,,uy (m),-0.00052278,-0.00052278,deformada / panel del nodo
E1,nodo,599,,uz (m),-0.02499004,-0.02499004,deformada / panel del nodo
E2,estado,,,max_desplazamiento_mm,32.4289,32.4289,cabecera: Dmax
E2,estado,,,no_pasan (de 138 con fierro),0,0,cabecera: NO PASA n/m
E2,columna,18,Elem_18_columna,P,5744.2949,5744.2948,panel del elemento y ventana P-M
E2,columna,18,Elem_18_columna,M,62.0669,62.0667,panel del elemento y ventana P-M
E2,columna,18,Elem_18_columna,Mn,1302.222,1302.222,panel del elemento y ventana P-M
E2,columna,18,Elem_18_columna,u,0.047662,0.047662,panel del elemento y ventana P-M
E2,columna,18,Elem_18_columna,extremo,j (superior),j (superior),panel del elemento y ventana P-M
E2,columna,18,Elem_18_columna,pasa,True,True,panel del elemento y mapa D/C
E2,columna,18,Elem_18_columna,sum lambda u_caso (NO es u),0.054227,0.047662,tabla de no linealidad (no se muestra en Unity)
E2,muro,537,Elem_537_muro,P,5239.8774,5239.8774,panel del elemento y ventana P-M
E2,muro,537,Elem_537_muro,M,3741.7278,3741.7278,panel del elemento y ventana P-M
E2,muro,537,Elem_537_muro,Mn,90558.6165,90558.6168,panel del elemento y ventana P-M
E2,muro,537,Elem_537_muro,u,0.041318,0.041318,panel del elemento y ventana P-M
E2,muro,537,Elem_537_muro,extremo,j (superior),j (superior),panel del elemento y ventana P-M
E2,muro,537,Elem_537_muro,pasa,True,True,panel del elemento y mapa D/C
E2,muro,537,Elem_537_muro,sum lambda u_caso (NO es u),0.051157,0.041318,tabla de no linealidad (no se muestra en Unity)
E2,viga,138,Elem_138_viga_x,My(0),-141.6032,-141.6031,diagrama My
E2,viga,138,Elem_138_viga_x,My(L),1069.7132,1069.7134,diagrama My
E2,viga,138,Elem_138_viga_x,max|My| (x = 2.5000),1069.7132,,diagrama My
E2,nodo,599,,ux (m),0.00185198,0.00185198,deformada / panel del nodo
E2,nodo,599,,uy (m),-0.00066378,-0.00066379,deformada / panel del nodo
E2,nodo,599,,uz (m),-0.03236914,-0.03236914,deformada / panel del nodo
E3,estado,,,max_desplazamiento_mm,29.7097,29.7097,cabecera: Dmax
E3,estado,,,no_pasan (de 138 con fierro),6,6,cabecera: NO PASA n/m
